LoanID,CustomerID,LoanAmount,InterestRate,Tenure,EMI,PaidEMIs,DefaultFlag,Age,Salary,City,CreditScore,DebtToIncome,LoanUtilization,OutstandingAmount,IsNPA,ExpectedLoss,RiskScore
L148,148,410000,12.7,48,10600,12,1,27,59000,Mumbai,555,0.1797,0.75,381600.0,True,171720.0,54.12
L180,180,650000,11.0,72,11600,28,1,26,53000,Chennai,610,0.2189,0.6111,510400.0,True,229680.0,51.41
L124,124,430000,11.9,60,9500,23,1,27,56000,Chennai,560,0.1696,0.6167,351500.0,True,158175.0,51.38
L136,136,390000,12.9,48,10300,17,1,30,70000,Chennai,570,0.1471,0.6458,319300.0,True,143685.0,50.22
L196,196,280000,13.3,36,9500,5,1,32,76000,Noida,620,0.125,0.8611,294500.0,True,132525.0,49.99
L108,108,420000,13.5,60,9700,28,1,31,72000,Kolkata,540,0.1347,0.5333,310400.0,True,139680.0,49.32
L151,151,350000,13.1,36,11200,7,1,32,78000,Delhi,645,0.1436,0.8056,324800.0,True,146160.0,48.91
L198,198,590000,11.3,72,11600,25,1,28,60000,Kochi,660,0.1933,0.6528,545200.0,True,245340.0,48.4
L155,155,530000,11.9,60,11600,20,1,39,117000,Ahmedabad,610,0.0991,0.6667,464000.0,True,208800.0,46.25
L169,169,270000,13.0,36,9200,6,1,38,102000,Bangalore,655,0.0902,0.8333,276000.0,True,124200.0,46.19
L183,183,510000,12.2,60,11300,17,1,37,97000,Pune,655,0.1165,0.7167,485900.0,True,218655.0,45.75
L164,164,420000,12.3,48,10400,16,1,31,75000,Kolkata,670,0.1387,0.6667,332800.0,True,149760.0,45.41
L128,128,680000,11.1,84,12000,41,1,38,101000,Pune,600,0.1188,0.5119,516000.0,True,232200.0,45.38
L142,142,450000,12.1,60,10200,18,1,35,93000,Kolkata,670,0.1097,0.7,428400.0,True,192780.0,44.46
L177,177,320000,12.8,36,10300,9,1,30,70000,Ahmedabad,745,0.1471,0.75,278100.0,True,125145.0,43.55
L190,190,610000,11.5,72,11800,22,1,36,90000,Chennai,730,0.1311,0.6944,590000.0,True,265500.0,42.62
L103,103,350000,11.5,48,9200,18,1,29,65000,Hyderabad,720,0.1415,0.625,276000.0,True,124200.0,42.57
L129,129,300000,13.2,36,10100,10,1,29,64000,Delhi,775,0.1578,0.7222,262600.0,True,118170.0,42.25
L106,106,250000,12.0,36,8300,12,1,27,58000,Coimbatore,745,0.1431,0.6667,199200.0,True,89640.0,42.1
L173,173,480000,11.8,60,10900,19,1,43,134000,Delhi,690,0.0813,0.6833,446900.0,True,201105.0,41.84
